timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal
2025-05-07 19:16:24.134750,1.131165,1.131165,1.131165,1.131165,0,1.13116,1.13117,0.0,0.0,1.1311189999999995,1.1311243042665402,1.1310790000000002,1.1310914926810693,1.1310354999999994,1.131060901496985,1.1310456000000002,1.1310726872399361,,,2.708770766024493e-05,8.347753293290604e-06,1.8739954366954325e-05,71.02175553629179,100.00000000000004,98.4126984127186,2.0550480599843645e-05,1.1311549110667702,1.1310354999999994,1.1309160889332286,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:24.766695,1.131165,1.131165,1.131165,1.131165,0,1.13116,1.13117,0.0,0.0,1.1311369999999996,1.1311378695110268,1.1310940000000003,1.1311048576481477,1.1310454999999995,1.1310708156401292,1.1310451000000004,1.131076307348174,,,3.1666135435592935e-05,1.301142972175107e-05,1.8654705713841865e-05,71.02175553629179,100.00000000000004,100.00000000000006,1.908258912842624e-05,1.1311728538461971,1.1310454999999995,1.1309181461538018,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:26.183264,1.131135,1.131135,1.131135,1.131135,0,1.13113,1.13114,0.0,0.0,1.1311469999999997,1.1311369130073512,1.1311060000000004,1.1311103380757572,1.1310544999999994,1.1310769284363074,1.1310437000000002,1.1310786090207947,,,3.249919269054935e-05,1.6908982315510728e-05,1.5590210375038622e-05,63.35956748050337,66.6666666666667,88.88888888888893,1.986240419067969e-05,1.1311804325335233,1.1310544999999994,1.1309285674664755,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:29.218881,1.131165,1.131165,1.131165,1.131165,0,1.13116,1.13117,0.0,0.0,1.1311529999999996,1.1311462753382342,1.1311180000000003,1.1311202766074377,1.1310644999999995,1.131085316204278,1.1310429000000004,1.1310819969023322,,,3.517467409874797e-05,2.0562120672158176e-05,1.4612553426589795e-05,67.17348160947013,66.6666666666667,77.77777777777781,2.0586518177057888e-05,1.131192167541919,1.1310644999999995,1.13093683245808,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:30.084984,1.131175,1.131175,1.131175,1.131175,0,1.13117,1.13118,0.0,0.0,1.1311609999999996,1.1311558502254895,1.1311320000000002,1.1311302263151763,1.1310704999999994,1.1310938575181564,1.1310425000000004,1.131085644082633,,,3.7667718802314454e-05,2.3983240298189432e-05,1.3684478504125022e-05,68.35588771737031,66.6666666666667,66.66666666666669,1.9830338307272717e-05,1.1312068048108037,1.1310704999999994,1.1309341951891951,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:31.210099,1.131155,1.131155,1.131155,1.131155,0,1.13115,1.13116,0.0,0.0,1.1311589999999996,1.131155566816993,1.1311390000000001,1.1311347306215078,1.1310774999999993,1.1310996806116653,1.1310437000000002,1.1310883639225295,,,3.759625560650903e-05,2.670584335985335e-05,1.0890412246655682e-05,63.43455825851433,83.33333333324084,72.2222222221914,1.9842456999619737e-05,1.1312160460349792,1.1310774999999993,1.1309389539650194,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:32.433613,1.131115,1.131115,1.131115,1.131115,0,1.13111,1.13112,0.0,0.0,1.1311489999999995,1.131142044544662,1.131143,1.1311311432357791,1.1310839999999993,1.1311011396010306,1.1310431000000003,1.1310894084745873,,,3.392093537502028e-05,2.8148861762886737e-05,5.772073612133541e-06,54.91847904836858,49.999999999907516,66.66666666660501,2.1282281499633896e-05,1.1312166499293816,1.1310839999999993,1.130951350070617,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:35.431770,1.131115,1.131115,1.131115,1.131115,0,1.13111,1.13112,0.0,0.0,1.1311449999999996,1.1311330296964415,1.1311459999999998,1.131128208102001,1.1310904999999996,1.1311024596390278,1.1310427000000005,1.1310904120638192,,,3.065484761077819e-05,2.8650058932465026e-05,2.0047886783131647e-06,54.91847904836858,16.666666666574184,49.99999999990751,1.976211853537433e-05,1.1312156359344667,1.1310904999999996,1.1309653640655324,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:36.085647,1.131125,1.131125,1.131125,1.131125,0,1.13112,1.13113,0.0,0.0,1.1311369999999994,1.1311303531309609,1.1311449999999996,1.1311276248107283,1.1310979999999995,1.1311046063400727,1.1310423000000003,1.1310917684534734,,,2.854432474586055e-05,2.862891209514413e-05,-8.458734928358045e-08,56.60751041813909,5.555555555473352,24.074074073985006,1.9064824354264984e-05,1.1312120350924904,1.1310979999999995,1.1309839649075086,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:37.795614,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1311049999999994,1.1310919020873074,1.1311329999999997,1.1311071475724142,1.1310984999999998,1.1310960724029229,1.1310399000000002,1.1310887579258861,,,1.7790560965735835e-05,2.6461241869262472e-05,-8.670680903526637e-06,39.20649634956327,5.555555555473352,9.25925925917362,2.556019404323409e-05,1.131210976665346,1.1310984999999998,1.1309860233346536,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:38.575040,1.131005,1.131005,1.131005,1.131005,0,1.131,1.13101,0.0,0.0,1.1310749999999996,1.1310629347248715,1.1311169999999997,1.1310885752865207,1.1310979999999997,1.1310873988407397,1.1310373000000002,1.1310854733013416,,,8.364785229586502e-06,2.2841950541327277e-05,-1.4477165311740774e-05,38.06105380530641,5.555555555473352,5.555555555473341,2.4448751611579192e-05,1.131212035084702,1.1310979999999997,1.1309839649152975,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:42.260373,1.1310250000000002,1.1310250000000002,1.1310250000000002,1.1310250000000002,0,1.13094,1.13111,0.0,0.0,1.1310569999999995,1.131050289816581,1.131103,1.131077016143517,1.1310984999999998,1.1310814560940026,1.1310361000000002,1.1310831017993281,,,2.4800346074549395e-06,1.876956735455281e-05,-1.628953274709787e-05,41.727883561301724,5.555555555596711,5.555555555514462,2.4130983639332893e-05,1.1312111543396886,1.1310984999999998,1.130985845660311,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:43.958329,1.130975,1.130975,1.130975,1.130975,0,1.13097,1.13098,0.0,0.0,1.1310289999999994,1.131025193211054,1.1310869999999997,1.1310584677537867,1.1310964999999995,1.1310713174183833,1.1310359000000003,1.1310788625130799,,,-6.147391488076082e-06,1.3786175586027031e-05,-1.9933567074103113e-05,35.991347436592456,5.555555555596711,5.555555555555582,2.5978770522245222e-05,1.131216212163804,1.1310964999999995,1.130976787836195,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:44.581899,1.131005,1.131005,1.131005,1.131005,0,1.131,1.13101,0.0,0.0,1.1310049999999996,1.1310184621407027,1.131071,1.1310487463440073,1.1310944999999997,1.1310650014737753,1.1310363000000003,1.1310759659439396,,,-1.0443552771022269e-05,8.94022991461717e-06,-1.9383782685639438e-05,41.21336038442118,25.5555555555375,12.22222222224363,2.6266001199225885e-05,1.1312188342317715,1.1310944999999997,1.1309701657682278,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:46.367020,1.131035,1.131035,1.131035,1.131035,0,1.13103,1.13104,0.0,0.0,1.1310089999999993,1.1310239747604685,1.1310569999999998,1.1310462470087332,1.1310944999999997,1.1310621441905586,1.1310375000000001,1.1310743594363342,,,-1.1297313858404934e-05,4.892721160012749e-06,-1.6190035018417683e-05,45.9611356765093,53.33333333327416,28.148148148136112,2.6532715399279356e-05,1.1312188342317715,1.1310944999999997,1.1309701657682278,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:48.336416,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1310109999999995,1.1310209831736457,1.1310429999999998,1.131040565734418,1.1310909999999998,1.1310576542676483,1.1310383000000002,1.1310720316153016,,,-1.343291227318133e-05,1.227594473373933e-06,-1.4660506746555262e-05,43.44220176579924,75.55555555553751,51.48148148144971,2.60660928707529e-05,1.13122005812352,1.1310909999999998,1.1309619418764798,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:50.152445,1.130975,1.130975,1.130975,1.130975,0,1.13097,1.13098,0.0,0.0,1.1310009999999995,1.1310056554490973,1.1310289999999998,1.1310286446917965,1.1310859999999998,1.1310497824326342,1.1310383000000002,1.1310682264539171,,,-1.8143903483869295e-05,-2.6467051180747127e-06,-1.5497198365794582e-05,38.85556895587844,55.55555555559672,61.48148148146945,2.7061371951416265e-05,1.131224549628136,1.1310859999999998,1.1309474503718637,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
